weibo_id,original_text,user_id,created_at,retweet_count,comment_count,like_count,user_authentication,original_link,decoded_link,is_paper,confidence,source,doi,matched_pattern
113,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/MET.2022.112022,https://doi.org/10.12677/MET.2022.112022,True,high,DOI,10.12677/MET.2022.112022,DOI
114,,3254679103.0,,0,0,0,蓝V,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266026,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0266026,True,high,DOI,10.1371/journal.pone.0266026,DOI
115,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AEP.2022.122044,https://doi.org/10.12677/AEP.2022.122044,True,high,DOI,10.12677/AEP.2022.122044,DOI
116,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/HJDM.2022.123022,https://doi.org/10.12677/HJDM.2022.123022,True,high,DOI,10.12677/HJDM.2022.123022,DOI
117,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AEP.2022.123065,https://doi.org/10.12677/AEP.2022.123065,True,high,DOI,10.12677/AEP.2022.123065,DOI
118,,3710258141.0,,0,0,0,金V,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.128.233201,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.128.233201,True,high,DOI,10.1103/PhysRevLett.128.233201,DOI
118,,3710258141.0,,0,0,0,金V,https://www.nature.com/articles/s41567-021-01392-z,https://www.nature.com/articles/s41567-021-01392-z,True,high,Nature,,Nature
119,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/IJM.2022.112004,https://doi.org/10.12677/IJM.2022.112004,True,high,DOI,10.12677/IJM.2022.112004,DOI
120,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/JSST.2022.102007,https://doi.org/10.12677/JSST.2022.102007,True,high,DOI,10.12677/JSST.2022.102007,DOI
121,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AG.2022.125066,https://doi.org/10.12677/AG.2022.125066,True,high,DOI,10.12677/AG.2022.125066,DOI
122,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ORF.2022.122052,https://doi.org/10.12677/ORF.2022.122052,True,high,DOI,10.12677/ORF.2022.122052,DOI
123,,1729014640.0,,0,0,0,蓝V,https://www.nature.com/articles/s41592-022-01540-0,https://www.nature.com/articles/s41592-022-01540-0,True,high,Nature,,Nature
124,,2427364747.0,,0,0,0,蓝V,https://www.nature.com/articles/s41592-022-01540-0,https://www.nature.com/articles/s41592-022-01540-0,True,high,Nature,,Nature
125,,3710258141.0,,0,0,0,金V,https://www.science.org/doi/10.1126/science.abl6277,https://www.science.org/doi/10.1126/science.abl6277,True,high,DOI,10.1126/science.abl6277,DOI
126,,1855567811.0,,0,0,0,蓝V,https://www.sciencedirect.com/science/article/abs/pii/S0341816222000649?via%3Dihub=,https://www.sciencedirect.com/science/article/abs/pii/S0341816222000649?via=ihub=,True,high,Elsevier,,Elsevier
127,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/SG.2022.123011,https://doi.org/10.12677/SG.2022.123011,True,high,DOI,10.12677/SG.2022.123011,DOI
128,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/OJTT.2022.114037,https://doi.org/10.12677/OJTT.2022.114037,True,high,DOI,10.12677/OJTT.2022.114037,DOI
129,,2794083144.0,,0,0,0,蓝V,https://doi.org/10.1038/s41467-022-31201-x,https://doi.org/10.1038/s41467-022-31201-x,True,high,DOI,10.1038/s41467-022-31201-x,DOI
130,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/MET.2022.113030,https://doi.org/10.12677/MET.2022.113030,True,high,DOI,10.12677/MET.2022.113030,DOI
131,,2427364747.0,,0,0,0,蓝V,https://www.nature.com/articles/s41567-022-01706-9,https://www.nature.com/articles/s41567-022-01706-9,True,high,Nature,,Nature
132,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ORF.2022.123114,https://doi.org/10.12677/ORF.2022.123114,True,high,DOI,10.12677/ORF.2022.123114,DOI
