weibo_id,any_paper,max_confidence,total_links,user_id,user_authentication,retweet_count,comment_count,like_count
393,True,high,2,2092965653.0,蓝V,0,0,0
394,True,high,1,3941337445.0,普通用户,0,0,0
395,True,high,1,3941337445.0,普通用户,0,0,0
396,True,high,1,3941337445.0,普通用户,0,0,0
397,True,high,1,3941337445.0,普通用户,0,0,0
398,True,high,1,1286528122.0,蓝V,0,0,0
399,True,high,1,1286528122.0,蓝V,0,0,0
400,True,high,1,3941337445.0,普通用户,0,0,0
401,True,high,1,2794083144.0,蓝V,0,0,0
402,True,high,1,6890507718.0,蓝V,0,0,0
403,True,high,1,1870858943.0,蓝V,0,0,0
404,True,high,1,3941337445.0,普通用户,0,0,0
405,True,high,1,3941337445.0,普通用户,0,0,0
406,True,high,1,3941337445.0,普通用户,0,0,0
407,False,none,1,1286528122.0,蓝V,0,0,0
408,True,high,1,3941337445.0,普通用户,0,0,0
409,True,high,1,1912085257.0,红V,0,0,0
410,True,high,1,3941337445.0,普通用户,0,0,0
411,True,high,1,3941337445.0,普通用户,0,0,0
412,True,high,1,3941337445.0,普通用户,0,0,0
413,True,high,1,6890507718.0,蓝V,0,0,0
414,True,high,1,3941337445.0,普通用户,0,0,0
415,True,high,3,3710258141.0,金V,0,0,0
416,True,high,1,6890507718.0,蓝V,0,0,0
417,True,high,1,3941337445.0,普通用户,0,0,0
418,True,high,1,3941337445.0,普通用户,0,0,0
419,True,high,1,3941337445.0,普通用户,0,0,0
420,True,high,1,3941337445.0,普通用户,0,0,0
421,True,high,1,3941337445.0,普通用户,0,0,0
422,True,high,1,6890507718.0,蓝V,0,0,0
423,True,high,1,3941337445.0,普通用户,0,0,0
424,True,high,1,3941337445.0,普通用户,0,0,0
425,True,high,1,6324766931.0,黄V,0,0,0
426,True,high,1,3996876140.0,蓝V,0,0,0
427,True,high,1,2678093863.0,普通用户,0,0,0
428,True,high,1,3213294213.0,蓝V,0,0,0
429,True,high,1,5329434101.0,蓝V,0,0,0
430,True,high,1,5329434101.0,蓝V,0,0,0
431,True,high,1,3213294213.0,蓝V,0,0,0
432,True,high,1,5329434101.0,蓝V,0,0,0
433,True,high,1,1768409523.0,蓝V,0,0,0
434,True,high,1,5875989566.0,蓝V,0,0,0
435,True,high,1,2678093863.0,普通用户,0,0,0
436,True,high,1,2678093863.0,普通用户,0,0,0
437,True,high,1,5329434101.0,蓝V,0,0,0
438,True,high,1,5329434101.0,蓝V,0,0,0
439,True,high,1,1615055180.0,黄V,0,0,0
440,True,high,1,1615055180.0,黄V,0,0,0
441,True,high,1,5329434101.0,蓝V,0,0,0
442,True,high,2,5329434101.0,蓝V,0,0,0
443,True,high,1,1812175903.0,金V,0,0,0
444,True,high,1,5329434101.0,蓝V,0,0,0
445,True,high,1,5329434101.0,蓝V,0,0,0
446,True,high,1,1812175903.0,金V,0,0,0
447,True,high,1,3213294213.0,蓝V,0,0,0
448,True,high,1,1870858943.0,蓝V,0,0,0
449,True,high,2,1870858943.0,蓝V,0,0,0
450,False,none,1,5953063530.0,普通用户,0,0,0
451,True,high,2,5329434101.0,蓝V,0,0,0
452,True,high,1,6614989372.0,普通用户,0,0,0
453,True,high,1,6614989372.0,普通用户,0,0,0
454,True,high,1,1854722641.0,蓝V,0,0,0
455,True,high,1,6684374689.0,蓝V,0,0,0
456,True,high,1,1815659631.0,普通用户,0,0,0
457,True,high,1,2949617444.0,蓝V,0,0,0
458,True,high,1,6684374689.0,蓝V,0,0,0
459,True,high,1,2683703741.0,蓝V,0,0,0
460,True,low,1,1870858943.0,蓝V,0,0,0
461,True,high,1,1235572171.0,蓝V,0,0,0
462,True,high,1,5329434101.0,蓝V,0,0,0
463,True,high,2,3800117772.0,普通用户,0,0,0
464,True,high,1,5329434101.0,蓝V,0,0,0
465,True,high,1,2279408463.0,蓝V,0,0,0
466,True,high,1,1870858943.0,蓝V,0,0,0
467,True,high,1,5329434101.0,蓝V,0,0,0
468,True,high,1,2216240737.0,蓝V,0,0,0
469,True,high,1,5329434101.0,蓝V,0,0,0
470,True,high,1,1235572171.0,蓝V,0,0,0
471,True,high,1,5329434101.0,蓝V,0,0,0
472,True,high,1,5976873363.0,普通用户,0,0,0
473,True,high,1,3710258141.0,金V,0,0,0
474,True,high,2,5329434101.0,蓝V,0,0,0
475,True,high,1,5356414944.0,蓝V,0,0,0
476,True,high,2,6704969204.0,蓝V,0,0,0
477,True,high,1,1870858943.0,蓝V,0,0,0
478,True,medium,1,6593893685.0,黄V,0,0,0
479,True,high,1,1812175903.0,金V,0,0,0
480,True,high,1,3996731343.0,普通用户,0,0,0
481,True,high,1,5582414021.0,蓝V,0,0,0
482,True,high,1,1235572171.0,蓝V,0,0,0
483,True,high,1,6614989372.0,普通用户,0,0,0
484,True,high,1,3710258141.0,金V,0,0,0
485,True,high,1,5501415626.0,蓝V,0,0,0
486,True,high,1,5501415626.0,蓝V,0,0,0
487,True,high,1,5501415626.0,蓝V,0,0,0
488,True,high,1,5501415626.0,蓝V,0,0,0
489,True,high,1,5501415626.0,蓝V,0,0,0
490,True,high,1,3213294213.0,蓝V,0,0,0
491,True,high,1,5501415626.0,蓝V,0,0,0
492,True,high,1,2345219597.0,蓝V,0,0,0
493,True,high,1,6684374689.0,蓝V,0,0,0
494,True,high,2,3996731343.0,普通用户,0,0,0
495,True,high,1,5501415626.0,蓝V,0,0,0
