altmetric_id,any_paper,max_confidence,total_links
3783178,True,high,3
2487576,True,high,2
2300169,True,high,18
2723200,True,high,12
2197618,True,high,6
2677748,True,medium,1
2638613,True,high,18
2751729,True,high,12
2936065,True,high,7
3099184,True,high,11
2630028,True,high,45
2355293,True,high,19
1609546,True,high,10
2990264,True,medium,2
2996501,True,high,8
2765531,False,none,1
2977826,True,high,2
2657691,True,high,6
2704479,True,high,43
2648751,True,high,33
3715353,True,high,2
3883415,True,high,1
2424693,True,high,11
3763636,True,high,4
2820617,True,high,44
2576435,True,high,17
443386,True,high,10
3079561,True,high,5
2619643,True,high,8
3091337,True,high,2
834955,True,high,16
2420213,True,high,3
3931867,True,high,63
2940620,True,high,1
3807276,True,high,2
2303347,True,high,6
3587525,True,high,15
2691846,True,high,211
2953211,True,low,2
2996793,True,high,5
2570917,True,high,1
3736976,True,high,2
1204130,True,high,46
4189669,True,high,2
2357816,True,high,6
1050084,True,high,2
3377445,True,high,22
3005604,True,medium,1
3893094,True,high,12
2001454,True,high,7
2445751,True,high,35
3060395,True,high,17
2998030,True,medium,1
2410238,True,high,15
2737587,True,high,7
2439966,True,high,9
2392691,True,high,7
2617590,True,high,13
3197694,True,high,4
1472856,True,high,22
4071993,True,high,11
2474454,True,high,6
2914103,True,high,14
2327711,True,high,7
1229843,True,high,11
2594321,True,high,23
3005798,False,none,1
2579300,True,high,4
2343614,True,high,1
3987002,True,high,15
2363018,True,high,6
2752109,True,high,23
2610398,True,high,5
3305640,True,high,21
3079858,True,high,2
2883202,True,medium,1
2735222,False,none,1
2783557,True,high,8
2774764,True,high,5
2655942,True,medium,1
2930776,True,high,4
2570845,True,high,7
3715237,True,high,34
4290166,False,none,2
2820848,True,high,20
3524379,True,high,3
3775547,True,high,2
1690157,True,high,8
2635586,True,high,4
3043749,True,high,1
2847165,True,high,16
3376276,True,high,4
2343033,True,high,8
1500693,True,medium,2
2976868,True,high,11
2934926,True,high,6
1090150,True,high,1
2538883,True,high,24
2819657,True,high,4
2988824,True,high,3
2723311,True,high,5
2998469,True,medium,1
3758198,True,high,23
3266297,True,high,4
101920904,True,high,16
2654987,True,high,8
3026904,True,medium,1
2306162,True,high,3
1119595,True,high,6
3011230,True,high,12
250409,True,high,12
3717603,True,high,3
70245411,True,high,7
2732887,True,high,13
2448451,True,high,20
2765454,True,high,3
4246073,True,high,3
2803234,True,high,37
3778856,True,high,3
2536034,True,high,8
3001844,True,high,17
2415596,True,high,6
2938408,True,medium,6
2593584,False,none,1
2682608,True,high,15
2803111,True,high,14
2914475,True,high,1
2576598,True,high,14
3761648,True,high,6
3014755,True,high,15
3039041,True,high,2
2203393,True,high,16
3111035,True,high,2
378392,True,high,27
2333528,True,high,14
2363123,False,none,1
2594207,True,high,73
2453304,True,high,2
2816172,True,high,30
2931204,True,high,12
2784544,True,high,3
101812455,True,high,66
2430082,True,high,10
4093251,True,high,22
2500697,True,high,5
2387488,True,high,2
2796920,True,high,13
3424217,True,high,6
2965185,True,medium,1
2869364,True,high,9
